Minibatch,Avg Reward,Min Reward,Max Reward,Avg Episode Length,Min Episode Length,Max Episode Length
1,49.30243055555555,-13.980555555555556,135.44722222222222,136.96875,77,275
2,79.33480902777778,11.005555555555555,179.72222222222223,167.0,77,329
3,99.14904513888888,15.063888888888888,238.53333333333333,195.21875,77,438
4,122.72699652777777,14.438888888888888,373.91666666666663,234.5,77,727
5,141.81241319444445,23.352777777777778,339.8388888888889,253.9375,77,709
6,120.15737847222222,32.50555555555555,268.3,215.09375,77,493
7,174.04774305555557,39.67222222222222,407.31944444444446,303.3125,77,836
8,174.9150173611111,39.858333333333334,721.3388888888888,294.3125,77,1548
9,192.7540798611111,64.14722222222223,491.93333333333334,346.84375,122,1013
10,178.9933159722222,72.52777777777777,383.1083333333333,309.84375,122,727
11,181.09800347222222,36.46944444444444,476.8277777777778,320.125,77,1028
12,165.45946180555555,30.466666666666665,473.8305555555555,273.25,77,971
13,214.63576388888887,40.63333333333333,497.8194444444444,365.96875,77,1113
14,190.2267361111111,26.772222222222222,718.1083333333333,338.65625,77,1420
15,197.80321180555555,42.88055555555555,482.9611111111111,338.65625,77,962
16,231.93706597222217,45.875,857.6583333333333,379.5625,77,1468
17,191.80963541666665,40.852777777777774,437.81388888888887,318.90625,77,836
18,173.72934027777777,64.59444444444445,639.1444444444444,302.625,122,1242
19,252.80355902777777,41.78611111111111,575.5111111111111,434.4375,77,1073
20,198.74036458333333,31.163888888888888,561.9444444444445,336.5,77,1013
21,209.6876736111111,20.913888888888888,453.69444444444446,348.21875,77,727
22,169.92838541666666,48.291666666666664,403.55555555555554,285.71875,77,672
23,201.97465277777778,48.702777777777776,853.1805555555555,341.53125,77,1468
24,210.80920138888888,48.44444444444444,461.8,347.46875,77,781
25,203.02881944444448,34.56388888888889,774.8444444444444,354.53125,77,1516
26,230.51571180555555,37.225,409.25555555555553,383.0625,77,781
27,205.16258680555555,42.80555555555556,560.2305555555555,335.71875,77,1113
28,249.07065972222222,43.81111111111111,859.5083333333333,408.375,77,1460
29,231.13559027777777,68.83055555555555,758.1416666666667,389.78125,122,1468
30,199.02534722222222,71.24722222222222,836.7583333333333,342.15625,122,1468
31,210.50260416666663,33.81944444444444,512.8,363.21875,77,1113
32,236.2359375,45.269444444444446,786.475,396.78125,77,1412
33,230.29600694444443,41.080555555555556,773.1999999999999,391.5,77,1413
34,199.13506944444444,37.263888888888886,583.3444444444444,313.5625,77,961
35,248.36154513888889,22.144444444444442,825.7916666666666,410.15625,77,1468
36,267.5829861111111,40.21111111111111,1199.4972222222223,415.96875,77,1967
37,230.09913194444442,32.59444444444444,636.7027777777778,357.5625,77,971
38,222.03715277777775,65.98333333333333,795.9916666666667,350.96875,122,1372
39,199.10225694444443,32.175,524.025,327.5,77,953
40,220.31840277777778,36.827777777777776,963.1916666666666,372.75,77,1765
41,238.12569444444443,36.71944444444444,780.6583333333333,400.6875,77,1469
42,260.26848958333335,78.32222222222222,733.375,429.5625,122,1372
43,263.5198784722222,48.288888888888884,1329.4805555555556,438.34375,77,2343
44,242.81059027777778,45.86944444444444,690.2888888888889,402.0,77,1063
45,243.58289930555554,52.21111111111111,807.6916666666666,396.65625,77,1420
46,238.8396701388889,43.40833333333333,615.8305555555555,405.03125,77,1241
47,208.82118055555554,39.43055555555556,575.5611111111111,347.15625,77,1063
48,205.03845486111112,33.86944444444444,541.0472222222222,339.84375,77,1028
49,263.3948784722222,34.102777777777774,716.1944444444445,436.125,77,1241
50,248.08177083333334,53.358333333333334,872.0138888888889,392.96875,77,1420
51,315.08940972222223,44.89722222222222,1125.9527777777778,489.53125,77,1766
52,240.4440972222222,41.49166666666667,869.8777777777777,373.3125,77,1468
53,306.02057291666665,84.96388888888889,704.3888888888889,481.71875,122,1017
54,278.04965277777774,41.86666666666667,613.6666666666666,445.375,77,1113
55,327.4397569444444,56.47222222222222,967.6861111111111,501.90625,77,1556
56,369.8903645833333,44.71111111111111,1027.036111111111,590.34375,77,1675
57,398.85824652777774,44.94722222222222,934.5416666666666,616.375,77,1429
58,361.75190972222225,48.74444444444444,1250.9027777777778,575.0625,77,1847
59,272.0561631944444,44.46111111111111,585.2805555555556,423.0,77,966
60,252.72569444444446,43.93333333333333,612.8583333333333,399.9375,77,1013
61,261.28081597222223,42.09166666666667,824.6916666666666,420.78125,77,1388
62,205.95416666666665,46.75,694.4138888888889,323.53125,77,1177
63,285.1743055555555,44.21666666666667,1081.1138888888888,442.0,77,1619
64,298.93645833333335,48.519444444444446,1122.7277777777776,453.5625,77,1789
65,399.77812500000005,47.11666666666667,944.1027777777778,611.59375,77,1420
66,349.51085069444446,45.038888888888884,966.0583333333333,520.375,77,1468
67,486.1855902777778,53.84444444444444,1291.6277777777777,695.34375,77,1945
68,356.2717881944444,43.00833333333333,1005.8694444444444,522.15625,77,1420
69,383.6501736111111,51.02777777777778,979.7583333333333,548.3125,77,1477
70,513.0986979166667,49.016666666666666,1315.3416666666667,687.78125,77,1821
71,613.4683159722223,51.86944444444445,1324.0222222222221,831.3125,77,1774
72,631.4898437499999,54.5,1664.6916666666666,837.125,77,2279
73,738.6732638888889,134.79166666666666,1841.611111111111,986.59375,167,2303
74,655.8653645833333,135.3527777777778,1351.5166666666667,852.03125,168,1774
