Minibatch,Avg Reward,Min Reward,Max Reward,Avg Episode Length,Min Episode Length,Max Episode Length
60,106.84895833333334,-16.216666666666665,313.11944444444447,182.21875,77,438
61,114.52039930555554,-16.23611111111111,335.0,189.53125,77,438
62,117.41866319444443,-16.333333333333332,336.5722222222222,190.6875,77,438
63,98.34348958333334,-16.333333333333332,312.9,166.71875,77,383
64,107.2079861111111,-16.333333333333332,295.00555555555553,179.125,77,438
65,121.70017361111111,-16.294444444444444,303.44444444444446,192.625,77,438
66,94.12291666666667,-16.333333333333332,296.98333333333335,172.90625,77,383
67,89.94149305555555,-16.255555555555556,251.725,164.46875,77,383
68,108.68237847222223,-16.1,314.3861111111111,187.5625,77,330
69,107.86892361111111,-15.847222222222221,253.1888888888889,174.3125,77,329
70,93.71597222222222,-16.15833333333333,300.8388888888889,168.96875,77,383
71,96.41605902777778,-16.23611111111111,275.19166666666666,167.5625,77,383
72,86.4015625,-16.216666666666665,369.81111111111113,158.34375,77,493
73,102.82881944444443,-15.944444444444445,322.93333333333334,173.21875,77,438
74,105.44956597222222,-16.002777777777776,217.03055555555557,172.625,77,275
75,92.15355902777779,-15.652777777777777,255.7888888888889,172.34375,77,329
76,58.16866319444444,-16.333333333333332,248.525,135.78125,77,329
77,97.57039930555554,-15.905555555555555,321.1972222222222,169.0,77,438
78,100.18593750000001,-15.983333333333333,275.725,175.71875,77,383
79,92.81961805555555,-15.983333333333333,311.1333333333333,166.71875,77,383
80,92.94131944444445,-15.691666666666666,300.4277777777778,168.125,77,383
81,84.51154513888889,-15.672222222222222,319.3361111111111,160.8125,77,383
82,65.48515625,-15.4,257.0805555555556,139.4375,77,329
83,81.01059027777778,-14.427777777777777,312.4,149.84375,77,383
84,96.29340277777779,-15.4,362.93055555555554,170.40625,77,438
85,80.70824652777777,-16.255555555555556,305.85,149.0,77,383
86,106.58463541666666,-14.797222222222222,309.7138888888889,170.65625,77,383
87,113.12473958333334,-13.066666666666666,260.02777777777777,179.09375,77,329
88,92.77630208333333,-15.769444444444444,288.0111111111111,164.1875,77,383
89,106.99800347222222,-15.691666666666666,309.0083333333333,172.625,77,383
90,76.92552083333332,-16.31388888888889,201.70555555555555,140.28125,77,275
91,100.38637152777777,-16.333333333333332,311.7,162.21875,77,383
92,108.79105902777778,-16.31388888888889,330.2583333333333,166.46875,77,438
93,95.11597222222223,-16.333333333333332,324.72777777777776,161.125,77,438
94,103.80173611111111,-15.866666666666667,257.78333333333336,165.03125,77,329
95,68.03012152777778,-16.333333333333332,255.98611111111111,138.03125,77,383
96,91.66727430555555,-15.652777777777777,267.21666666666664,152.9375,77,329
97,61.99357638888888,-15.905555555555555,238.10833333333332,130.4375,77,329
98,91.28940972222222,-16.1,309.7083333333333,155.46875,77,383
99,73.39583333333333,-16.333333333333332,335.8638888888889,145.6875,77,438
100,88.42699652777779,-15.380555555555555,320.2111111111111,154.9375,77,438
101,65.47560763888887,-15.944444444444445,319.5777777777778,132.125,77,383
102,88.8375,-15.244444444444444,364.2972222222222,158.03125,77,438
103,54.36032986111111,-16.333333333333332,263.4472222222222,125.9375,77,329
104,53.538020833333334,-15.886111111111111,263.7416666666667,127.34375,77,329
105,40.77803819444444,-15.886111111111111,157.23055555555555,120.03125,77,221
106,42.62907986111111,-16.333333333333332,159.29166666666666,118.0625,77,221
107,62.96258680555555,-16.333333333333332,191.92222222222222,134.375,77,275
108,58.37274305555555,-15.886111111111111,254.81666666666666,138.3125,77,329
109,36.44331597222222,-15.866666666666667,113.37222222222222,112.15625,77,167
110,61.17673611111111,-15.652777777777777,157.81666666666666,134.375,77,221
111,51.10364583333333,-15.886111111111111,304.5361111111111,130.15625,77,383
112,60.96736111111111,-15.555555555555555,288.4166666666667,139.71875,77,383
113,77.01909722222221,-16.333333333333332,316.9972222222222,145.90625,77,383
114,102.60451388888889,-16.119444444444444,331.50555555555553,168.40625,77,383
115,100.67335069444444,-1.1055555555555554,307.1,173.46875,77,383
116,94.00581597222222,-15.944444444444445,359.94166666666666,164.78125,77,438
117,70.62118055555555,-15.536111111111111,210.40833333333333,139.71875,77,275
118,77.74765625,-15.672222222222222,269.64444444444445,156.90625,77,383
119,66.27699652777778,-14.758333333333333,237.70555555555555,144.21875,77,329
120,75.21085069444445,-16.022222222222222,250.96666666666667,156.90625,77,438
121,111.45364583333334,-15.555555555555555,296.1611111111111,195.15625,77,438
122,106.85347222222222,-15.847222222222221,312.6972222222222,188.40625,77,438
123,122.36041666666667,-15.516666666666666,303.43333333333334,204.46875,77,438
124,124.06736111111111,-15.847222222222221,302.3,197.6875,77,383
125,115.29435763888888,-15.886111111111111,309.2944444444444,202.53125,77,438
126,94.16362847222223,-16.333333333333332,328.7972222222222,182.1875,77,383
127,97.93828124999999,-15.827777777777778,212.86388888888888,168.15625,77,275
128,95.59956597222222,-15.75,304.6722222222222,162.5,77,383
129,106.4756076388889,-16.333333333333332,318.18611111111113,186.125,77,383
130,95.23029513888889,-15.886111111111111,231.2722222222222,168.96875,77,329
131,77.89296875,-16.275,246.63611111111112,165.34375,77,438
132,88.75095486111111,-14.855555555555556,349.85277777777776,168.71875,77,438
133,74.90477430555555,-15.652777777777777,297.1972222222222,160.8125,77,383
134,86.40260416666666,-16.15833333333333,263.0027777777778,172.625,77,329
135,106.25442708333333,-15.419444444444444,223.05,192.03125,77,329
136,121.27335069444446,-16.13888888888889,269.89722222222224,209.5,77,438
137,130.78055555555557,-15.847222222222221,301.25,221.59375,77,438
138,116.14340277777777,-16.333333333333332,319.30833333333334,199.65625,77,438
