Minibatch,Avg Reward,Min Reward,Max Reward,Avg Episode Length,Min Episode Length,Max Episode Length
62,119.94418402777777,-0.18333333333333385,277.54166666666663,232.125,77,618
63,107.83272569444443,9.108333333333333,210.575,199.4375,77,383
64,134.4667534722222,30.73611111111111,255.5583333333333,234.78125,77,438
65,108.51302083333333,23.288888888888888,230.95833333333331,202.84375,77,438
66,137.97647569444445,31.930555555555554,471.17499999999995,260.09375,77,961
67,146.77456597222223,32.24722222222222,562.5861111111111,261.78125,77,1013
68,138.66640625,35.03055555555555,398.31666666666666,232.59375,77,782
69,110.78038194444444,31.33611111111111,220.4361111111111,201.34375,77,493
70,149.6123263888889,15.452777777777778,379.1361111111111,260.9375,77,727
71,156.79409722222223,38.89722222222222,429.9916666666667,279.40625,77,728
72,144.68185763888886,45.547222222222224,251.35277777777776,229.6875,77,438
73,142.71145833333333,38.59166666666667,331.2583333333333,247.78125,77,672
74,143.24904513888887,29.827777777777776,338.84999999999997,251.15625,77,564
75,167.02144097222222,60.94166666666666,334.90555555555557,299.40625,122,781
76,190.8113715277778,25.266666666666666,508.9111111111111,354.875,77,961
77,169.91119791666668,43.63333333333333,470.65,298.21875,77,944
78,152.98680555555558,23.73611111111111,399.6583333333333,259.9375,77,672
79,215.8699652777778,75.03055555555555,469.2611111111111,365.625,122,781
80,194.95416666666665,61.11388888888889,428.1583333333333,319.15625,122,726
81,165.53194444444443,-1.1583333333333337,526.7527777777777,278.4375,77,1013
82,167.81571180555557,32.78055555555555,410.27777777777777,288.65625,77,836
83,113.37526041666666,3.7527777777777773,374.575,204.9375,77,781
84,133.2412326388889,27.277777777777775,330.39166666666665,236.4375,77,618
85,176.50477430555554,37.875,408.075,297.5625,77,727
86,189.5118923611111,44.1,453.85833333333335,325.28125,122,745
87,164.21163194444443,30.394444444444442,433.96666666666664,280.53125,77,836
88,192.9756076388889,35.83333333333333,419.85555555555555,324.3125,77,727
89,169.79531250000002,20.675,381.13055555555553,310.6875,77,781
90,178.39505208333333,8.863888888888889,386.22222222222223,297.21875,77,736
91,171.89991319444445,32.94166666666666,373.14444444444445,274.875,77,619
92,182.921875,13.694444444444445,381.85833333333335,299.5625,77,781
93,179.60928819444445,-5.386111111111111,428.40555555555557,297.96875,77,781
94,248.09166666666667,43.61111111111111,512.5777777777778,428.4375,77,1113
95,238.80894097222222,35.80833333333333,784.8111111111111,392.96875,77,1388
96,190.91354166666667,41.75277777777778,555.4916666666667,310.0,77,1003
97,207.59210069444444,3.4638888888888886,449.51388888888886,335.875,77,736
98,148.27309027777778,40.38611111111111,298.92777777777775,229.25,77,438
99,190.9638888888889,6.972222222222221,467.05833333333334,321.3125,77,944
100,204.68298611111112,45.14722222222222,362.9944444444444,350.34375,77,709
101,222.21831597222223,8.752777777777776,774.3138888888889,391.90625,77,1372
102,221.62022569444446,67.59166666666667,569.5722222222222,373.1875,122,1113
103,210.43394097222222,30.119444444444444,509.40555555555557,347.15625,77,836
104,211.28654513888887,21.625,558.075,341.03125,77,961
105,213.42821180555558,45.99166666666667,480.8305555555556,330.875,77,836
106,224.78177083333333,52.080555555555556,643.5666666666666,358.0,77,1113
107,294.0394965277778,55.949999999999996,826.0277777777777,468.8125,77,1420
108,334.09270833333335,59.138888888888886,704.9083333333333,549.90625,122,1241
109,258.15711805555554,74.26666666666667,605.3,413.75,122,1063
110,234.73802083333334,67.01388888888889,513.0666666666666,331.75,122,781
111,258.18819444444443,90.87777777777778,683.8972222222222,398.46875,167,1113
112,231.75026041666666,41.67777777777778,562.3888888888889,351.875,122,836
113,203.67977430555555,-12.755555555555556,439.77222222222224,362.5625,77,781
